InstitutionName,City,StreetAddress,Telephone,Email,Source,DoE_Status
"LEYF - House of Commons Nursery & Pre-School","London","1 Parliament St, London SW1A, UK","020 7219 1592","","Google Places API","OPEN"
"Little Angels Nursery","London","3 Perkins Square, London SE1 9HU, UK","020 3576 0144","","Google Places API","OPEN"
"Millies House Nursery and Pre-school, Napier House, Hide Place, Westminster, SW1P 4NJ","London","1 Hide Pl, London SW1P 4NJ, UK","020 7630 0740","","Google Places API","OPEN"
"LEYF - Soho Nursery & Pre-School","London","23 Brewer St, London W1F 0RN, UK","020 7439 1578","","Google Places API","OPEN"
"Little Agnes Nursery","London","1, Spring Mews, Tinworth St, London SE11 5AN, UK","020 7820 1932","","Google Places API","OPEN"
"Hatching Dragons Westminster | Kindergarten and Nursery School in Pimlico","London","St James the Less Church School, Moreton St, Lillington and Longmoore Gardens, London SW1V 2QF, UK","0330 818 0066","","Google Places API","OPEN"
"Coin Street Nursery","London","Floor 1, 108 Stamford St, London SE1 9NH, UK","020 7021 1670","","Google Places API","OPEN"
"The Knightsbridge Kindergarten","London","St Peter's Church, 119 Eaton Square, London SW1W 9AL, UK","020 4638 4540","","Google Places API","OPEN"
"Young England Kindergarten","London","St Saviours Hall, St.George's Square, Pimlico, London SW1V 2HP, UK","020 7834 3171","","Google Places API","OPEN"
"Turtles Nursery, Covent Garden","London","47, Dudley Court, 36 Endell St, London WC2H 9RF, UK","020 7240 8136","","Google Places API","OPEN"
"Kido Waterloo Nursery & Preschool","London","91 Cornwall Rd, London SE1 8TH, UK","020 3131 3051","","Google Places API","OPEN"
"LEYF - Marsham Street Nursery and Pre-School","London","121 Marsham St, London SW1P 4LX, UK","020 7834 8679","","Google Places API","OPEN"
"Miss Daisy's Nursery School, Belgravia","London","28 Eccleston St, London SW1W 9PY, UK","020 7730 5797","","Google Places API","OPEN"
"Hatching Dragons City of London | Kindergarten and Nursery School in Barbican","London","Third and Ground Floors, Ferroners House Ironmongers Hall Shaftesbury Place Off, Aldersgate St, Barbican, London EC2Y 8AA, UK","0330 818 0187","","Google Places API","OPEN"
"Maryam's Nursery Great Guildford Street","London","47 Great Guildford St, London SE1 0ES, UK","020 7459 4922","","Google Places API","OPEN"
"Everbloom Wraparound Childcare, LTD","London","London EC1N 2SW, UK","020 3905 5499","","Google Places API","OPEN"
"Maryam's Nursery Marylebone","London","3 Cramer St, London W1U 4EA, UK","020 7459 4922","","Google Places API","OPEN"
"LEYF - Bessborough Nursery & Pre-School","London","1 Bessborough St, Pimlico, London SW1V 2JD, UK","020 7641 6387","","Google Places API","OPEN"
"LEYF - Angel Pre-School","London","St Gabriel's School, Churchill Gardens, London SW1V 3AG, UK","020 7828 1922","","Google Places API","OPEN"
"Busy Bees at Westminster","London","84a Horseferry Rd, London SW1P 2AD, UK","020 7222 4459","","Google Places API","OPEN"
"Early Inspirations Day Nursery and Preschool Manchester","Manchester","Cayton Street / Stockport Road Opposite Crowcroft Park/ bordering Levenshulme &, Longsight, Manchester M12 4GJ, UK","0161 225 2529","","Google Places API","OPEN"
"Tiny Steps Nursery Manchester","Manchester","76 Greville St, Longsight, Manchester M13 0YG, UK","0161 248 7300","","Google Places API","OPEN"
"Manchester Learning Zone","Manchester","Second Floor, Midway Business Centre, 703 Stockport Rd, Longsight, Manchester M12 4QN, UK","07448 245179","","Google Places API","OPEN"
"Early Days Day Nursery","Manchester","61 Upper Chorlton Rd, Whalley Range, Manchester M16 7RQ, UK","0161 264 4268","","Google Places API","OPEN"
"Tiny Turtles Daycare Ltd","Manchester","38 Kingfisher Cl, Longsight, Manchester M12 4PW, UK","0161 273 7228","","Google Places API","OPEN"
"WMB Born2Reign Day Nursery","Manchester","Claremont Sure Start, Claremont Rd, Moss Side, Manchester M14 7NA, UK","0161 470 0444","","Google Places API","OPEN"
"Lemon Tree Manchester Ltd.","Manchester","703 Stockport Rd, Longsight, Manchester M12 4QN, UK","0161 971 9657","","Google Places API","OPEN"
"Precious Kids Day Nursery","Manchester","322 Moston Ln, Manchester M40 9WB, UK","0161 637 2660","","Google Places API","OPEN"
"Little Learning Ladder","Manchester","The Chip, 2 Lampwick Ln, Manchester M4 6BU, UK","0161 205 6096","","Google Places API","OPEN"
"Paint Pots Manchester Day Nursery","Manchester","Ground Floor, Bracken House, Charles St, Manchester M1 7BD, UK","0161 273 3211","","Google Places API","OPEN"
"Echoes Day Nursery","Manchester","63 Charles St, Manchester M1 7DQ, UK","0800 307 0155","","Google Places API","OPEN"
"Alexandra Park Creative Nursery School","Manchester","80 Demesne Rd, Manchester M16 8PH, UK","0161 226 8080","","Google Places API","OPEN"
"Manchester Bees Forest School and Online Tuition.","Manchester","Platt Fields Market Garden Platt Fields Park, Fallowfield, Manchester M14 6LT, UK","07506 342945","","Google Places API","OPEN"
"Ardwick Day Nursery (Former Early Explorers Day Nursery)","Manchester","116 Hyde Rd, Manchester M12 5AR, UK","0161 222 0557","","Google Places API","OPEN"
"Little Leaders Pre-School","Manchester","40 Sedgeborough Rd, Manchester M16 7EU, UK","0161 226 8562","","Google Places API","OPEN"
"Little Hamza's Nursery","Manchester","197 Claremont Rd, Manchester M14 4JF, UK","0161 258 8954","","Google Places API","OPEN"
"WMB Hillcity Day Nursery","Manchester","Tamerton Dr, Cheetham Hill, Manchester M8 0DH, UK","0161 705 0851","","Google Places API","OPEN"
"Your Nursery Ltd, (National Award winning best nursery)","Manchester","St. Vincents School House, Greenside St, Openshaw, Manchester M11 2EX, UK","0161 220 7662","","Google Places API","OPEN"
"Early Learning Childcare Chapel Street","Manchester","212 Chapel St, Salford M3 6BY, UK","0161 831 9831","","Google Places API","OPEN"
"Tiny Steps Nursery Gorton","Manchester","Gorton Sure, Start Children's Centre, Glencastle Rd, Manchester M18 7NE, UK","0161 317 0174","","Google Places API","OPEN"
"Happy Kids Nursery Ltd","Birmingham","280-284 Green Ln, Small Heath, Birmingham B9 5DN, UK","0121 689 0484","","Google Places API","OPEN"
"Smart Kids Nursery City Centre","Birmingham","Oxford St, High St, Birmingham B5 6DY, UK","0121 448 8688","","Google Places API","OPEN"
"Greencoat Nursery","Birmingham","Greencoat House, 259 Stratford Rd, Sparkbrook, Birmingham B11 1QS, UK","07858 100777","","Google Places API","OPEN"
"Little Smurfs Nursery","Birmingham","25 Whitmore Rd, Birmingham B10 0NR, UK","0121 582 4123","","Google Places API","OPEN"
"Sunshine Kidz Day Nursery","Birmingham","202 Streetly Rd, Birmingham B23 7AL, UK","0121 382 1773","","Google Places API","OPEN"
"Edgbaston Nursery School","Birmingham","41 Calthorpe Rd, Birmingham B15 1TS, UK","0121 455 7887","","Google Places API","OPEN"
"Early Nurture Pre-School","Birmingham","inside Anglesey Primary School, Early Nurture Playschool, Lozells, Birmingham B19 2YA, UK","0121 464 4382","","Google Places API","OPEN"
"Ashbourne Day Nurseries at Birmingham Central","Birmingham","1 Woodcock St, Birmingham B7 4BL, UK","0121 204 4562","","Google Places API","OPEN"
"Smart Start Childcare","Birmingham","Poachers Pocket, Cole Hall Ln, Birmingham B34 6HE, UK","0121 582 1400","","Google Places API","OPEN"
"Selly Oak Nursery School","Birmingham","26 Tiverton Rd, Birmingham B29 6BP, UK","0121 472 1700","","Google Places API","OPEN"
"Kinder Day Nursery","Birmingham","122-123 Livery St, Birmingham B3 1RS, UK","0121 236 5959","","Google Places API","OPEN"
"Norfolk House Nursery","Birmingham","3 Norfolk Rd, Birmingham B15 3PS, UK","0121 452 1485","","Google Places API","OPEN"
"Kids Planet George Perkins","Birmingham","94 Edgbaston Rd, Balsall Heath, Birmingham B12 9QA, UK","0121 446 4143","","Google Places API","OPEN"
"Tiny Tots Academy","Birmingham","27A Acfold Rd, Birmingham B20 1HD, UK","0121 339 5077","","Google Places API","OPEN"
"N Family Club - Moseley Nursery","Birmingham","23 Wake Green Rd, Moseley, Birmingham B13 9HB, UK","0121 449 5599","","Google Places API","OPEN"
"LEARNING STEPS DAY NURSERY LTD","Birmingham","117 Soho Hill, Hockley, Birmingham B19 1AY, UK","0121 523 0088","","Google Places API","OPEN"
"Our Kids Nursery","Birmingham","17-21 Ombersley Rd, Balsall Heath, Birmingham B12 8UR, UK","0121 440 3306","","Google Places API","OPEN"
"Stepping Stones Nursery","Birmingham","6 Braithwaite Rd, Birmingham B11 1LB, UK","07886 820514","","Google Places API","OPEN"
"The Nest Nursery Lime Tree","Birmingham","300 Gillott Rd, Edgbaston, Birmingham B16 0RR, UK","0121 455 6026","","Google Places API","OPEN"
"Harvey Road PreSchool","Birmingham","Harvey Road PreSchool, 60 Yew Tree Ln, Birmingham B26 1AP, UK","07976 165582","","Google Places API","OPEN"
"Bright Horizons Leeds Day Nursery and Preschool","Leeds","338, 340 Kirkstall Rd, Burley, Leeds LS4 2DS, UK","0113 887 7558","","Google Places API","OPEN"
"Laugh and Learn Day Nursery","Leeds","Laugh and Learn Day Nursery, Great Eastern House, Junction 7 Business Park, Wakefield Rd, Leeds LS10 3DQ, UK","0113 824 4377","","Google Places API","OPEN"
"Kids Planet Headingley","Leeds","Sycamore Lodge, 7A Woodhouse Cliff, Woodhouse, Leeds LS6 2HF, UK","0113 278 4362","","Google Places API","OPEN"
"The Tots Team Nursery","Leeds","Off Station Approach, Kirkstall Ln, Kirkstall, Leeds LS5 3LD, UK","0113 513 8569","","Google Places API","OPEN"
"Bright Beginnings Childcare Centre","Leeds","Mount Preston St, Woodhouse, Leeds LS2 9NQ, UK","0113 343 1818","","Google Places API","OPEN"
"Leeds Montessori School and Day Nursery","Leeds","Wetherby Rd, Roundhay, Leeds LS8 2LE, UK","0113 232 3363","","Google Places API","OPEN"
"Kids Planet Leeds Oxford Place","Leeds","5-6 Oxford Pl, Leeds LS1 3AX, UK","0113 827 0103","","Google Places API","OPEN"
"Domi Domingo Day Nursery","Leeds","Haddon Hall, 2 Bankfield Rd, Burley, Leeds LS4 2JT, UK","0113 278 3104","","Google Places API","OPEN"
"Precious Ones Nursery","Leeds","196 Chapeltown Rd, Potternewton, Leeds LS7 4HZ, UK","0113 237 4079","","Google Places API","OPEN"
"Meanwood Preschool","Leeds","Holy Trinity Community Hall, Memorial Dr, Meanwood, Leeds LS6 4LF, UK","07535 000084","","Google Places API","OPEN"
"Best Childcare","Leeds","138 Chapeltown Rd, Leeds LS7 4EE, UK","0113 262 6054","","Google Places API","OPEN"
"Chapel Street Pre School","Leeds","Chapel St, Halton, Leeds, Christchurch LS15 7RW, UK","0113 264 0093","","Google Places API","OPEN"
"Little Clovers Nursery","Leeds","New Craven Gate, Leeds LS11 5NF, UK","0113 345 0958","","Google Places API","OPEN"
"North Leeds Community Nursery","Leeds","Foxcroft Cl, Kirkstall, Leeds LS6 3NT, UK","0113 274 1579","","Google Places API","OPEN"
"Amazing Grace Early Years Childcare Ltd","Leeds","63 Whitfield Gardens, Hunslet, Leeds LS10 2QD, UK","0113 345 4340","","Google Places API","OPEN"
"Little Gems","Leeds","577 York Rd, Leeds LS9 6NH, UK","0113 249 4222","","Google Places API","OPEN"
"Little Owls Nursery Quarry Mount","Leeds","Quarry St, Woodhouse, Leeds LS6 2JU, UK","0113 378 2555","","Google Places API","OPEN"
"Lesley's Private Day Nursery","Leeds","Unit 3 & 7, Mortec Office Park, York Rd, Leeds LS15 4TA, UK","0113 348 6888","","Google Places API","OPEN"
"Partou Acorns in Adel Day Nursery & Pre-school","Leeds","469 Otley Rd, Adel, Leeds LS16 7NR, UK","0113 267 3946","","Google Places API","OPEN"
"Little Rascals Private Day Nursery & Pre school (Station Road)","Leeds","Station Rd, Cross Gates, Leeds LS15 7JY, UK","0113 232 6757","","Google Places API","OPEN"
"Primrose City Nursery","Glasgow","368, City Park Bldg Alexandra Parade, 368 Alexandra Parade, Glasgow G31 3AU, UK","0141 554 3220","","Google Places API","OPEN"
"Bright Starts Nursery Glasgow","Glasgow","Balmore Industrial Estate, 47 Glentanar Rd, Glasgow G22 7XS, UK","0141 573 0554","","Google Places API","OPEN"
"Headstart Nursery","Glasgow","Skypark, 1 10 Elliot St, Glasgow G3 8EP, UK","0141 248 5779","","Google Places API","OPEN"
"West End Nursery","Glasgow","10 Malloch St, Glasgow G20 8TP, UK","0141 945 5179","","Google Places API","OPEN"
"Ivy In the Park","Glasgow","345 Carntyne Rd, Glasgow G32 6JP, UK","0141 266 0428","","Google Places API","OPEN"
"Smiley Stars Nursery - Ibrox","Glasgow","38 Ibrox Ter, Glasgow G51 2TB, UK","0141 427 0122","","Google Places API","OPEN"
"Little wonder nursery","Glasgow","311 Calder St, Glasgow G42 7NQ, UK","0141 370 0365","","Google Places API","OPEN"
"Woodside Nursery School","Glasgow","445 St George's Rd, Glasgow G3 6JX, UK","0141 332 7661","","Google Places API","OPEN"
"Hyde N Seek Nurseries Ltd","Glasgow","Kinning Park Business Centre, 544 Scotland St W, Kinning Park, Glasgow G41 1BZ, UK","0141 429 6238","","Google Places API","OPEN"
"Primrose Day Nursery","Glasgow","24 Gairbraid Ave, Glasgow G20 8YE, UK","0141 946 6966","","Google Places API","OPEN"
"Acorn Park Nursery & Kindergarten","Glasgow","Beresford House, 6 Claremont Terrace, Glasgow G3 7XR, UK","0141 332 2461","","Google Places API","OPEN"
"St Mungo's Nursery Class","Glasgow","45 Parson St, Glasgow G4 0PX, UK","0141 552 2484","","Google Places API","OPEN"
"Little Stars Nursery","Glasgow","3 Brand Pl, Glasgow G51 1DR, UK","0141 427 0020","","Google Places API","OPEN"
"Pied Piper Nursery","Glasgow","25 Hector Rd, Shawlands, Glasgow G41 3RJ, UK","0141 649 2715","","Google Places API","OPEN"
"Kelvin Park Early Years Centre","Glasgow","Hillhead Primary School, 110 Otago St, Glasgow G12 8NS, UK","0141 339 7513","","Google Places API","OPEN"
"Puddleduck Nursery","Glasgow","18 Cathedral Square, Glasgow G4 0XA, UK","0141 552 7569","","Google Places API","OPEN"
"The Learning Zone Nursery","Glasgow","1211 Dumbarton Rd, Glasgow G14 9UP, UK","0141 959 8088","","Google Places API","OPEN"
"Govanhill Nursery School","Glasgow","335 Allison St, Glasgow G42 8HH, UK","0141 433 0100","","Google Places API","OPEN"
"Renfrew Street Nursery School","Glasgow","256 Renfrew St, Glasgow G3 6TT, UK","0141 332 3236","","Google Places API","OPEN"
"Sandyford Day Nursery","Glasgow","Perth St, Glasgow G3 8UQ, UK","0141 221 5502","","Google Places API","OPEN"
